name,style,score,brewer,abv,link,note,category
Not In My Dojo,New England IPA,91.0,Sloop Brewing Company,6.8,http://www.beeradvocate.com/search/?q=Not+In+My+Dojo&qt=beer,,IPA
Bretta Weisse,Berliner Weisse,91.0,Firestone Walker Brewing Company,4.9,https://www.beeradvocate.com/beer/profile/2210/88903/,"multiple results, guessed best match",Sour
Space Cake,American Imperial IPA,91.0,Clown Shoes Beer,9.0,https://www.beeradvocate.com/beer/profile/22951/113602/,"multiple results, guessed best match",IPA
Northern Heights,New England IPA,91.0,Ten Bends Beer,8.0,http://www.beeradvocate.com/search/?q=Northern+Heights&qt=beer,,IPA
Lush Ipa,American IPA,91.0,Frost Beer Works,7.0,https://www.beeradvocate.com/beer/profile/20680/260802/,"multiple results, guessed best match",IPA
Farmhouse Pale Ale,Belgian Saison,91.0,Idle Hands Craft Ales,6.0,https://www.beeradvocate.com/beer/profile/26439/72219/,"multiple results, guessed best match",Other
Fiddlehead Ipa,American IPA,91.0,Fiddlehead Brewing Company,6.2,https://www.beeradvocate.com/beer/profile/27919/76970/,"multiple results, guessed best match",IPA
Hitachino Nest White,Belgian Witbier,91.0,Kiuchi Brewery,5.5,http://www.beeradvocate.com/search/?q=Hitachino+Nest+White&qt=beer,,Other
Vague Recollection,Belgian Saison,91.0,Jester King Brewery,6.0,https://www.beeradvocate.com/beer/profile/24018/318134/,"multiple results, guessed best match",Other
Spon 1,Belgian Fruit Lambic,91.0,Jester King Brewery,5.7,https://www.beeradvocate.com/beer/profile/24018/288937/,"multiple results, guessed best match",Sour
Belhaven Wee Heavy,Scotch Ale / Wee Heavy,91.0,Belhaven Brewery,6.5,https://www.beeradvocate.com/beer/profile/148/79/,"multiple results, guessed best match",Ale
Briar Weisse,Berliner Weisse,91.0,Night Shift Brewing Company,5.2,http://www.beeradvocate.com/search/?q=Briar+Weisse&qt=beer,,Sour
Dark Truth,American Imperial Stout,90.0,Boulevard Brewing Company,9.7,https://www.beeradvocate.com/beer/profile/423/56469/,"multiple results, guessed best match",Stout
Dieu-le-veut,Belgian IPA,90.0,Rising Tide Brewing Company,7.0,https://www.beeradvocate.com/beer/profile/1141/18272/,"multiple results, guessed best match",IPA
Sorry Chicky,Berliner Weisse,90.0,Burley Oak Brewing Company,4.4,https://www.beeradvocate.com/beer/profile/26749/147848/,"multiple results, guessed best match",Sour
Bretta Blanc,American Wild Ale,90.0,Firestone Walker Brewing Company,7.5,https://www.beeradvocate.com/beer/profile/2210/304318/,"multiple results, guessed best match",Ale
Solera,American Imperial IPA,90.0,Brewery Ommegang,8.0,https://www.beeradvocate.com/beer/profile/46299/246762/,"multiple results, guessed best match",IPA
Cascade Strawberry,American Wild Ale,90.0,Cascade Brewing Company,7.39,https://www.beeradvocate.com/beer/profile/2391/81761/,"multiple results, guessed best match",Ale
Goody Two Shoes,German K\xc3\xb6lsch,90.0,Exhibit A Brewing Company,4.5,http://www.beeradvocate.com/search/?q=Goody+Two+Shoes&qt=beer,,Other
